sample_id,Lead_gt_15
sample_003323,0.0
sample_006054,0.0
sample_004193,0.0
sample_014140,0.0
sample_012461,0.0
sample_016674,0.0
sample_010356,0.0
sample_006920,0.0
sample_004171,0.0
sample_000231,0.0
sample_015188,0.0
sample_014889,0.0
sample_005363,0.0
sample_005255,0.0
sample_004593,0.0
sample_006095,0.0
sample_004069,0.0
sample_014338,0.0
sample_004102,0.0
sample_002349,0.0
sample_005834,0.0
sample_016512,0.0
sample_008456,0.0
sample_003660,0.0
sample_010118,0.0
sample_005511,0.0
sample_012541,0.0
sample_012398,0.0
sample_002011,0.0
sample_001604,0.0
sample_016226,0.0
sample_013416,0.0
sample_005388,0.0
sample_002946,0.0
sample_004754,0.0
sample_003038,0.0
sample_005959,0.0
sample_003603,0.0
sample_011516,0.0
sample_007369,0.0
sample_003095,0.0
sample_013260,0.0
sample_016360,0.0
sample_009756,0.0
sample_006491,0.0
sample_009506,0.0
sample_005197,0.0
sample_015263,0.0
sample_012143,0.0
sample_011726,0.0
sample_014415,0.0
sample_005944,0.0
sample_004167,0.0
sample_002593,0.0
sample_004139,0.0
sample_007539,0.0
sample_016811,0.0
sample_001291,0.0
sample_006409,0.0
sample_006923,0.0
sample_016390,0.0
sample_014215,0.0
sample_001536,0.0
sample_009628,0.0
sample_008453,0.0
sample_009655,0.0
sample_005373,0.0
sample_008944,0.0
sample_004116,0.0
sample_006343,0.0
sample_013440,0.0
sample_003694,0.0
sample_014719,0.0
sample_013202,0.0
sample_000307,0.0
sample_016653,0.0
sample_013736,0.0
sample_011349,0.0
sample_014047,0.0
sample_000153,0.0
sample_014899,0.0
sample_006513,0.0
sample_001301,0.0
sample_004467,0.0
sample_008616,0.0
sample_002976,0.0
sample_013162,0.0
sample_013022,0.0
sample_008300,0.0
sample_001289,0.0
sample_003525,0.0
sample_009941,0.0
sample_010393,0.0
sample_003519,0.0
sample_007463,0.0
sample_001455,0.0
sample_006291,0.0
sample_012488,0.0
sample_011398,0.0
sample_000644,0.0
sample_005367,0.0
sample_011721,0.0
sample_004244,0.0
sample_014937,0.0
sample_010528,0.0
sample_010556,0.0
sample_009124,0.0
sample_017129,0.0
sample_008353,0.0
sample_010037,0.0
sample_014020,0.0
sample_001242,0.0
sample_004216,0.0
sample_008416,0.0
sample_005340,0.0
sample_013293,0.0
sample_002784,0.0
sample_017648,0.0
sample_017656,0.0
sample_011173,0.0
sample_004106,0.0
sample_013087,0.0
sample_010997,0.0
sample_013542,0.0
sample_017338,0.0
sample_007877,0.0
sample_013033,0.0
sample_005877,0.0
sample_013224,0.0
sample_012130,0.0
sample_000110,0.0
sample_000986,0.0
sample_015315,0.0
sample_015212,0.0
sample_015010,0.0
sample_007549,0.0
sample_014697,0.0
sample_012320,0.0
sample_012795,0.0
sample_003228,0.0
sample_011955,0.0
sample_016673,0.0
sample_008217,0.0
sample_005116,0.0
sample_014354,0.0
sample_015251,0.0
sample_007002,0.0
sample_010790,0.0
sample_010479,0.0
sample_000088,0.0
sample_010029,0.0
sample_005558,0.0
sample_014789,0.0
sample_016365,0.0
sample_010401,0.0
sample_016901,0.0
sample_011914,0.0
sample_011321,0.0
sample_008948,0.0
sample_000183,0.0
sample_002794,0.0
sample_009907,0.0
sample_003105,0.0
sample_003991,0.0
sample_017514,0.0
sample_001360,0.0
sample_006793,0.0
sample_011584,0.0
sample_007353,0.0
sample_006085,0.0
sample_013099,0.0
sample_008069,0.0
sample_002943,0.0
sample_003821,0.0
sample_013515,0.0
sample_016613,0.0
sample_006197,0.0
sample_004797,0.0
sample_005337,0.0
sample_009532,0.0
sample_014700,0.0
sample_003394,0.0
sample_002069,0.0
sample_014584,0.0
sample_014438,0.0
sample_002985,0.0
sample_005550,0.0
sample_007191,0.0
sample_004077,0.0
sample_005544,0.0
sample_009692,0.0
sample_014712,0.0
sample_013128,0.0
sample_007573,0.0
sample_001565,0.0
sample_000213,0.0
sample_006295,0.0
sample_004921,0.0
sample_003091,0.0
sample_012694,0.0
sample_015141,0.0
sample_016211,0.0
sample_017255,0.0
sample_011649,0.0
